,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
0,100,10.08,0.0,0.21,37,0,2,39
1,200,9.1,0.09,0.65,65,0,6,71
2,300,8.74,0.21,0.92,99,0,9,108
3,400,6.65,0.74,1.4,118,1,13,132
4,500,9.16,0.25,0.7,143,1,13,157
5,600,8.63,0.01,0.33,164,1,16,181
6,700,6.16,0.12,1.96,183,1,23,207
7,800,7.51,0.14,2.12,208,2,26,236
8,900,5.76,0.0,2.69,228,2,29,259
9,1000,8.34,0.0,1.04,252,2,32,286
10,1100,8.31,0.0,0.07,273,2,34,309
11,1200,9.23,0.0,0.64,301,2,36,339
12,1300,8.27,0.18,1.09,325,2,43,370
13,1400,7.2,0.04,1.5,340,2,48,390
14,1500,8.27,0.05,1.76,368,4,49,421
15,1600,10.35,0.02,0.29,400,4,51,455
16,1700,10.21,0.02,0.33,434,4,51,489
17,1800,8.4,0.59,0.65,450,5,56,511
18,1900,6.73,0.05,1.5,463,5,62,530
19,2000,7.54,0.7,2.09,487,9,65,561
20,2100,9.67,0.0,0.21,518,9,66,593
21,2200,9.5,0.01,0.14,541,9,69,619
22,2300,8.61,0.03,0.83,564,10,71,645
23,2400,9.49,0.12,0.94,587,11,80,678
24,2500,8.24,0.0,1.6,615,11,87,713
25,2600,10.35,0.0,0.07,639,11,88,738
26,2700,9.39,0.2,0.91,666,13,93,772
27,2800,8.01,0.74,0.51,687,13,94,794
28,2900,9.78,0.32,0.28,709,14,97,820
29,3000,10.18,0.11,0.81,735,15,101,851
30,3100,9.46,0.02,0.35,758,15,103,876
31,3200,9.64,0.09,0.59,785,15,103,903
32,3300,9.77,0.0,0.22,812,15,103,930
33,3400,8.86,0.0,1.17,833,15,107,955
34,3500,7.11,0.0,2.12,847,15,110,972
35,3600,8.96,0.14,1.19,876,15,114,1005
36,3700,9.9,0.04,0.78,898,15,116,1029
37,3800,8.39,0.0,1.54,920,15,119,1054
38,3900,9.86,0.03,0.58,946,15,121,1082
39,4000,8.43,1.08,0.33,973,17,121,1111
40,4100,9.62,0.27,0.13,1001,17,121,1139
41,4200,9.7,0.0,0.79,1031,17,127,1175
42,4300,8.83,0.0,1.06,1057,17,130,1204
43,4400,8.81,0.0,1.62,1083,17,132,1232
44,4500,8.73,0.0,1.19,1114,17,133,1264
45,4600,10.73,0.0,0.04,1146,17,134,1297
46,4700,9.02,0.65,0.87,1171,17,145,1333
47,4800,8.54,0.05,1.39,1199,18,145,1362
48,4900,8.16,0.18,1.29,1218,19,148,1385
49,5000,6.87,0.73,1.3,1241,20,150,1411
50,5100,10.32,0.05,0.25,1272,20,152,1444
51,5200,9.0,0.0,0.64,1301,20,153,1474
52,5300,8.68,0.0,0.01,1324,20,153,1497
53,5400,9.25,0.07,0.18,1348,21,154,1523
54,5500,9.29,0.75,0.13,1374,22,155,1551
55,5600,10.32,0.0,0.26,1409,22,157,1588
56,5700,10.7,0.0,1.15,1434,22,161,1617
57,5800,13.37,0.0,0.77,1457,22,161,1640
58,5900,11.89,0.11,0.15,1473,22,163,1658
59,6000,10.09,0.91,0.06,1494,23,163,1680
60,6100,9.58,0.63,0.05,1522,24,165,1711
61,6200,10.58,0.12,0.04,1547,24,166,1737
62,6300,10.31,0.0,0.25,1584,24,168,1776
63,6400,8.02,0.01,1.54,1611,24,170,1805
64,6500,7.67,0.07,0.81,1633,25,170,1828
65,6600,9.59,0.0,0.5,1659,25,175,1859
66,6700,8.86,0.0,0.34,1683,25,177,1885
67,6800,6.6,0.0,2.11,1698,25,180,1903
68,6900,6.94,0.08,2.03,1712,25,186,1923
69,7000,8.3,0.0,1.34,1737,25,187,1949
70,7100,10.53,0.0,0.15,1770,25,189,1984
71,7200,6.6,0.0,1.24,1784,25,192,2001
72,7300,9.16,0.0,0.98,1811,25,193,2029
73,7400,9.12,0.0,0.08,1836,25,194,2055
74,7500,8.15,0.01,0.51,1863,25,194,2082
75,7600,9.15,0.0,0.12,1889,25,194,2108
76,7700,10.29,0.0,0.05,1922,25,195,2142
77,7800,10.27,0.0,0.01,1951,25,196,2172
78,7900,10.54,0.0,0.25,1982,25,198,2205
79,8000,10.12,0.0,0.19,2008,25,199,2232
80,8100,10.97,0.18,0.05,2038,28,200,2266
81,8200,11.48,0.0,0.13,2070,28,200,2298
82,8300,9.78,0.0,1.05,2096,28,202,2326
83,8400,10.12,0.0,1.06,2115,28,202,2345
84,8500,9.62,0.35,0.01,2133,30,202,2365
85,8600,10.77,0.77,0.14,2163,31,203,2397
86,8700,10.02,0.0,0.63,2181,31,206,2418
87,8800,6.41,0.0,3.05,2212,31,214,2457
88,8900,10.45,0.65,1.57,2238,33,218,2489
89,9000,10.05,0.75,0.96,2253,33,220,2506
90,9100,6.4,0.0,2.6,2274,33,222,2529
91,9200,10.31,0.0,0.07,2295,33,222,2550
92,9300,9.92,0.06,1.3,2322,34,227,2583
93,9400,12.28,0.0,0.06,2349,34,227,2610
94,9500,12.35,0.0,0.09,2368,34,227,2629
95,9600,9.4,0.97,0.28,2393,37,227,2657
96,9700,8.42,0.57,1.21,2413,37,229,2679
97,9800,8.87,0.0,0.14,2444,37,230,2711
98,9900,9.56,0.0,0.12,2481,37,231,2749
99,10000,9.55,0.0,0.83,2503,37,234,2774
100,10100,8.14,0.06,1.97,2526,38,234,2798
101,10200,11.0,0.0,0.11,2551,38,235,2824
102,10300,9.99,0.19,0.6,2579,38,238,2855
103,10400,8.32,0.02,0.45,2601,38,242,2881
104,10500,8.48,0.0,1.45,2633,38,243,2914
105,10600,8.16,0.33,1.65,2648,39,248,2935
106,10700,8.79,0.19,0.99,2674,39,252,2965
107,10800,9.2,0.0,0.54,2704,39,253,2996
108,10900,8.36,0.5,0.03,2723,41,253,3017
109,11000,9.41,0.25,0.16,2758,41,254,3053
110,11100,9.31,0.0,0.65,2795,41,257,3093
111,11200,6.26,0.47,2.67,2809,41,259,3109
112,11300,6.33,0.3,2.04,2823,41,264,3128
113,11400,7.13,0.0,1.95,2843,41,267,3151
114,11500,10.5,0.0,0.06,2867,41,268,3176
115,11600,9.2,0.0,0.4,2893,41,268,3202
116,11700,9.86,0.0,0.13,2925,41,270,3236
117,11800,9.46,0.0,0.68,2954,41,273,3268
118,11900,8.06,0.17,1.39,2977,42,279,3298
119,12000,9.95,0.02,0.4,3004,43,282,3329
120,12100,8.05,0.01,1.65,3032,43,288,3363
121,12200,9.09,0.0,0.2,3064,43,288,3395
122,12300,8.71,0.16,0.0,3099,45,288,3432
