interval_index,avg_frame_diff,start_time_second,dwell_time_second
0,21.85,300.0,8.74
750,19.67,600.0,7.868000000000001
1500,17.76,900.0,7.104000000000001
2250,17.29,1200.0,6.916
3000,16.27,1500.0,6.508
3750,20.47,1800.0,8.188
4500,18.84,2100.0,7.5360000000000005
5250,21.48,2400.0,8.592
6000,19.44,2700.0,7.776000000000001
6750,23.96,3000.0,9.584000000000001
7500,26.35,3300.0,10.540000000000001
8250,19.57,3600.0,7.828
9000,14.21,3900.0,5.684000000000001
9750,19.17,4200.0,7.668000000000001
10500,22.91,4500.0,9.164
11250,19.51,4800.0,7.804000000000001
12000,21.2,5100.0,8.48
12750,11.25,5400.0,4.5
