id,class,first_frame,last_frame
4,truck,3,69
5,bus,3,167
6,truck,3,170
7,car,3,41
8,car,3,149
10,car,4,43
11,car,4,125
12,truck,5,146
15,car,7,15
16,bus,8,132
17,truck,9,87
18,car,13,28
20,truck,14,42
22,car,14,30
24,car,20,287
26,car,23,69
35,car,36,158
42,car,42,162
44,car,43,140
46,truck,45,64
47,car,48,110
48,car,54,334
57,car,67,69
60,car,72,78
66,car,76,212
67,car,76,92
71,car,82,169
72,car,84,103
77,car,91,115
81,bus,97,222
82,car,100,106
83,car,102,230
85,truck,115,302
86,car,122,210
91,bus,128,216
92,car,130,141
94,car,133,191
98,bus,140,276
100,car,145,320
106,truck,159,213
110,bus,173,247
112,car,177,239
114,car,195,238
126,car,238,278
141,car,280,287
145,car,286,319
147,car,291,324
148,car,293,464
153,car,306,312
155,car,312,319
159,car,316,319
163,car,321,436
164,car,321,336
165,car,321,365
171,car,328,339
177,bus,333,494
178,car,334,363
182,car,339,446
189,car,345,350
209,truck,368,707
211,car,371,421
220,car,376,432
224,car,380,394
225,car,382,487
226,truck,385,389
233,car,393,473
236,car,397,399
237,car,398,435
239,car,399,404
249,car,418,564
251,car,421,560
252,car,423,512
253,car,426,509
261,car,436,481
263,car,441,523
264,car,442,455
265,car,443,465
266,car,443,458
272,car,455,474
276,car,458,489
286,bus,473,479
289,bus,478,480
290,car,481,497
291,car,482,517
294,car,486,492
298,car,492,496
301,car,495,681
305,car,504,586
311,bus,524,548
318,car,531,537
327,car,539,589
329,car,543,552
336,car,556,593
340,car,576,585
347,car,582,596
349,car,584,602
351,car,585,602
353,car,590,631
357,car,597,714
359,bus,598,678
364,car,611,617
366,car,614,624
368,car,617,673
369,car,617,638
370,car,618,628
372,car,618,642
375,car,626,629
376,car,627,634
378,car,630,668
381,truck,632,638
382,car,632,644
384,car,635,735
393,car,639,651
401,car,645,683
406,car,649,918
407,car,649,689
409,car,650,692
416,car,660,669
417,car,660,696
423,bus,665,771
424,bus,668,789
431,car,686,849
432,truck,689,738
433,car,691,693
435,car,691,817
441,car,724,734
444,car,729,791
446,bus,749,839
454,car,818,852
455,car,818,1223
456,car,819,827
457,bus,829,838
460,car,835,1185
461,car,836,981
462,car,837,889
463,car,838,915
465,car,841,902
468,truck,844,929
469,bus,855,874
470,truck,856,1013
473,car,870,872
477,car,876,881
478,truck,877,1249
479,car,879,939
482,car,888,895
483,truck,889,932
484,car,890,892
488,car,894,904
492,car,895,1038
493,car,900,960
495,car,902,911
497,truck,911,916
510,car,944,947
511,car,947,949
512,car,951,953
513,car,951,954
519,car,958,975
533,car,1045,1187
542,bus,1085,1150
543,car,1088,1157
547,car,1111,1147
553,truck,1124,1130
554,truck,1126,1151
556,car,1130,1236
559,car,1136,1216
560,car,1137,1149
571,car,1150,1156
573,truck,1151,1261
574,car,1151,1217
576,car,1155,1226
583,car,1163,1346
584,car,1163,1170
587,truck,1164,1201
591,car,1166,1264
598,car,1173,1179
600,car,1174,1377
601,car,1176,1181
603,car,1178,1181
605,car,1183,1186
607,car,1183,1197
608,car,1187,1194
612,car,1193,1329
613,bus,1194,1243
614,car,1194,1396
621,car,1206,1305
625,car,1209,1220
627,car,1219,1438
630,car,1235,1284
633,car,1243,1276
635,car,1245,1373
644,car,1266,1349
648,car,1296,1298
658,car,1313,1459
662,car,1316,1319
663,truck,1320,1391
668,car,1324,1327
671,car,1331,1411
674,car,1340,1436
676,car,1346,1353
678,car,1348,1496
