,Number of frames,car_average_value,bus_average_value,truck_average_value,car_flow_count,bus_flow_count,truck_flow_count,all_flow_count
0,100,9.43,0.25,1.25,48,1,8,57
1,200,7.16,0.19,3.75,70,1,15,86
2,300,10.91,0.28,1.62,107,1,16,124
3,400,12.66,0.08,0.58,135,1,19,155
4,500,9.27,0.07,2.2,156,5,26,187
5,600,10.77,0.19,1.85,180,5,28,213
6,700,12.06,0.0,0.69,214,5,29,248
7,800,10.96,0.04,0.63,252,5,31,288
8,900,10.87,0.83,0.89,291,5,34,330
9,1000,10.89,0.32,0.63,337,6,37,380
10,1100,10.69,0.0,0.81,376,6,40,422
11,1200,10.95,0.02,0.72,426,6,42,474
12,1300,10.71,0.0,0.99,456,6,45,507
13,1400,8.21,0.01,2.28,487,6,49,542
14,1500,10.95,0.09,2.46,524,6,51,581
15,1600,12.02,0.0,2.03,549,6,54,609
16,1700,11.15,0.3,1.57,579,8,60,647
17,1800,10.45,1.74,0.43,596,11,60,667
18,1900,11.94,0.21,2.25,629,11,69,709
19,2000,9.94,0.24,1.68,666,11,82,759
20,2100,8.08,0.01,2.33,700,11,87,798
21,2200,9.94,0.07,1.24,734,11,90,835
22,2300,10.0,0.09,1.34,763,12,96,871
23,2400,9.92,0.34,2.33,801,13,101,915
24,2500,9.33,0.06,1.98,836,15,103,954
25,2600,9.07,0.45,1.83,865,16,104,985
26,2700,11.59,0.02,0.36,899,17,106,1022
27,2800,11.69,0.0,0.83,935,17,106,1058
28,2900,11.59,0.54,0.31,986,19,106,1111
29,3000,10.83,0.09,0.32,1029,19,108,1156
30,3100,11.13,0.0,0.51,1065,19,109,1193
31,3200,11.1,0.46,0.23,1098,21,111,1230
32,3300,12.13,0.96,0.49,1128,21,113,1262
33,3400,12.66,0.89,0.35,1164,22,113,1299
34,3500,11.72,0.56,0.27,1191,22,113,1326
35,3600,11.95,0.04,0.79,1206,23,114,1343
36,3700,7.92,0.11,2.63,1235,24,116,1375
37,3800,10.58,0.12,1.94,1270,26,121,1417
38,3900,8.46,0.01,2.25,1290,26,125,1441
39,4000,7.72,0.31,3.18,1315,29,133,1477
40,4100,11.21,0.09,1.82,1354,29,136,1519
41,4200,9.44,0.0,1.06,1371,29,140,1540
42,4300,9.78,0.0,2.16,1401,29,142,1572
43,4400,12.82,0.13,0.54,1439,29,143,1611
44,4500,11.77,0.0,0.03,1476,29,143,1648
45,4600,11.98,0.0,0.02,1508,29,144,1681
46,4700,12.19,0.0,0.19,1543,29,146,1718
47,4800,10.99,0.04,0.09,1584,30,147,1761
48,4900,10.54,0.18,0.19,1622,30,148,1800
49,5000,9.92,0.0,0.34,1667,30,152,1849
50,5100,7.49,0.0,1.19,1699,30,155,1884
51,5200,9.69,0.48,0.06,1739,32,155,1926
52,5300,10.49,0.53,0.54,1788,33,155,1976
53,5400,6.35,0.26,2.19,1815,33,161,2009
54,5500,8.76,1.3,1.67,1846,35,163,2044
55,5600,9.3,0.2,1.88,1872,35,170,2077
56,5700,9.99,0.03,1.48,1913,35,172,2120
57,5800,11.75,0.05,1.06,1952,35,177,2164
58,5900,11.34,0.33,0.46,1999,39,180,2218
59,6000,10.38,0.6,1.3,2036,41,188,2265
60,6100,11.38,0.09,0.73,2082,41,189,2312
61,6200,9.32,0.0,0.57,2109,41,192,2342
62,6300,8.45,0.06,1.44,2145,41,195,2381
63,6400,10.53,0.03,1.03,2191,42,198,2431
64,6500,8.92,0.01,0.66,2228,43,202,2473
65,6600,10.16,0.27,1.64,2266,44,205,2515
66,6700,9.12,0.15,2.19,2302,44,209,2555
67,6800,11.3,0.0,0.84,2340,44,210,2594
68,6900,9.84,0.98,0.39,2376,45,211,2632
69,7000,11.72,0.34,0.74,2421,45,218,2684
70,7100,8.68,0.56,2.02,2440,46,222,2708
71,7200,5.34,0.02,3.82,2453,46,227,2726
72,7300,11.15,0.07,2.44,2483,46,227,2756
73,7400,11.79,0.05,1.37,2517,46,230,2793
74,7500,11.74,0.02,0.21,2545,46,231,2822
75,7600,11.91,0.11,1.09,2595,46,235,2876
76,7700,12.39,0.01,1.71,2641,46,237,2924
77,7800,12.52,0.01,1.9,2684,46,242,2972
78,7900,12.66,0.01,0.36,2738,46,243,3027
79,8000,10.29,0.01,0.77,2774,46,245,3065
80,8100,10.18,0.17,1.33,2833,47,249,3129
81,8200,10.79,0.02,1.39,2873,48,252,3173
82,8300,10.42,0.11,1.18,2928,50,257,3235
83,8400,10.18,0.77,0.63,2970,53,261,3284
84,8500,9.79,0.06,1.49,3006,53,265,3324
85,8600,7.99,0.31,1.63,3036,54,270,3360
86,8700,10.82,0.0,0.28,3075,54,272,3401
87,8800,11.43,0.03,0.52,3121,54,275,3450
88,8900,9.94,0.0,0.24,3160,54,275,3489
89,9000,7.48,0.03,0.92,3194,55,280,3529
90,9100,8.91,0.04,0.43,3222,56,281,3559
91,9200,5.32,0.37,1.83,3243,59,289,3591
92,9300,10.84,0.11,0.77,3290,59,289,3638
93,9400,10.7,0.12,0.66,3339,60,295,3694
94,9500,11.0,0.24,0.74,3390,60,300,3750
95,9600,8.97,0.05,1.07,3431,60,301,3792
96,9700,11.06,0.0,0.02,3479,60,301,3840
97,9800,11.41,0.0,0.03,3524,60,301,3885
98,9900,9.73,0.01,0.68,3566,60,303,3929
99,10000,11.48,0.03,0.06,3610,60,303,3973
100,10100,9.71,0.04,0.9,3651,60,309,4020
101,10200,8.86,0.09,1.11,3684,60,312,4056
102,10300,10.5,0.23,1.13,3728,63,313,4104
103,10400,9.68,0.35,0.57,3768,64,315,4147
104,10500,9.44,0.18,0.34,3804,66,316,4186
105,10600,10.45,0.44,0.9,3851,68,318,4237
106,10700,11.51,0.04,0.53,3902,69,322,4293
